Rank,Name,Industry,Revenue (USD millions),Revenue growth,Employees,Headquarters
1,Walmart,Retail,680985.0,5.1%,2100000,"Bentonville, Arkansas"
2,Amazon,Retail and cloud computing,637959.0,11.0%,1556000,"Seattle, Washington"
3,UnitedHealth Group,Healthcare,400278.0,7.7%,400000,"Minnetonka, Minnesota"
4,Apple,Technology,391035.0,2.0%,164000,"Cupertino, California"
5,CVS Health,Healthcare,372809.0,4.2%,259500,"Woonsocket, Rhode Island"
6,Berkshire Hathaway,Conglomerate,371433.0,1.9%,392400,"Omaha, Nebraska"
7,Alphabet,Technology and cloud computing,350018.0,13.9%,183323,"Mountain View, California"
8,Exxon Mobil,Petroleum,349595.0,1.5%,60900,"Spring, Texas"
9,McKesson Corporation,Healthcare,308951.0,11.7%,48000,"Irving, Texas"
10,Cencora,Pharmacy wholesale,293959.0,12.1%,44000,"Conshohocken, Pennsylvania"
